species,island,clutch_completion,date_egg,flipper_length_mm,culmen_length_mm,body_mass_g,sex,body_mass_kg,culmen_bodymass_index,flipper_group,weight_class,date_time_utc03,year
Adelie Penguin,Torgersen,Yes,2007-11-11,181,39.1,3750,MALE,3.75,10.43,small flips,medium,2007-11-11T12:20:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-11,186,39.5,3800,FEMALE,3.8,10.39,small flips,medium,2007-11-11T21:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,195,40.3,3250,FEMALE,3.25,12.4,small flips,small,2007-11-16T19:20:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,193,36.7,3450,FEMALE,3.45,10.64,small flips,small,2007-11-16T11:20:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,190,39.3,3650,MALE,3.65,10.77,small flips,medium,2007-11-16T13:50:00Z,2007
Adelie Penguin,Torgersen,No,2007-11-15,181,38.9,3625,FEMALE,3.625,10.73,small flips,medium,2007-11-15T18:50:00Z,2007
Adelie Penguin,Torgersen,No,2007-11-15,195,39.2,4675,MALE,4.675,8.39,small flips,large,2007-11-15T15:40:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-09,193,34.1,3475,NA,3.475,9.81,small flips,small,2007-11-09T16:40:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-09,190,42,4250,NA,4.25,9.88,small flips,medium,2007-11-09T20:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-09,186,37.8,3300,NA,3.3,11.45,small flips,small,2007-11-09T16:40:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-09,180,37.8,3700,NA,3.7,10.22,small flips,medium,2007-11-09T15:30:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-15,182,41.1,3200,FEMALE,3.2,12.84,small flips,small,2007-11-15T14:30:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-15,191,38.6,3800,MALE,3.8,10.16,small flips,medium,2007-11-15T16:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,198,34.6,4400,MALE,4.4,7.86,small flips,large,2007-11-16T16:40:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,185,36.6,3700,FEMALE,3.7,9.89,small flips,medium,2007-11-16T11:50:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-12,195,38.7,3450,FEMALE,3.45,11.22,small flips,small,2007-11-12T21:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-12,197,42.5,4500,MALE,4.5,9.44,small flips,large,2007-11-12T15:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,184,34.4,3325,FEMALE,3.325,10.35,small flips,small,2007-11-16T17:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,194,46,4200,MALE,4.2,10.95,small flips,medium,2007-11-16T13:10:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,174,37.8,3400,FEMALE,3.4,11.12,small flips,small,2007-11-12T18:00:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,180,37.7,3600,MALE,3.6,10.47,small flips,medium,2007-11-12T09:30:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,189,35.9,3800,FEMALE,3.8,9.45,small flips,medium,2007-11-12T17:50:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,185,38.2,3950,MALE,3.95,9.67,small flips,medium,2007-11-12T17:20:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-10,180,38.8,3800,MALE,3.8,10.21,small flips,medium,2007-11-10T19:00:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-10,187,35.3,3800,FEMALE,3.8,9.29,small flips,medium,2007-11-10T11:30:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,183,40.6,3550,MALE,3.55,11.44,small flips,medium,2007-11-12T11:30:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,187,40.5,3200,FEMALE,3.2,12.66,small flips,small,2007-11-12T14:00:00Z,2007
Adelie Penguin,Biscoe,No,2007-11-10,172,37.9,3150,FEMALE,3.15,12.03,small flips,small,2007-11-10T15:00:00Z,2007
Adelie Penguin,Biscoe,No,2007-11-10,180,40.5,3950,MALE,3.95,10.25,small flips,medium,2007-11-10T14:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-09,178,39.5,3250,FEMALE,3.25,12.15,small flips,small,2007-11-09T11:30:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-09,178,37.2,3900,MALE,3.9,9.54,small flips,medium,2007-11-09T17:00:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-09,188,39.5,3300,FEMALE,3.3,11.97,small flips,small,2007-11-09T15:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-09,184,40.9,3900,MALE,3.9,10.49,small flips,medium,2007-11-09T19:30:00Z,2007
